#Crewmate

"role.maskedDancer.name" : "Masked Dancer"
"role.maskedDancer.short" : "Dancer"
"role.maskedDancer.blurb" : "Shall we dance?"
"role.maskedDancer.doc" : "Invite three players to the party. You can start the party after the next meeting ends."
"options.role.maskedDancer.detail" : "The Masked Dancer can invite three players and start the party.<br>The party's effect depends on the factions of the invited players.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.maskedDancer.ability.title" : "<b>Ability: Masquerade Ball</b>"
"role.maskedDancer.ability.main" : "You can use <b>Invite</b> to invite three players.<br>After inviting three and the round ends, you can <b>Start Party</b>.<br>If the chosen players consist of one Impostor, one Crewmate, and one Neutral, or three Crewmates, nothing happens.<br>If there are two Crewmates and one Neutral or Impostor, that Neutral or Impostor dies.<br>If there are no Crewmates, the Masked Dancer commits suicide.<br>If there is only one Crewmate, a random invited player is killed."
"role.maskeddancer.doc.invite" : "<b>Invite</b><br>Invite one player to the party."
"role.maskeddancer.doc.start" : "<b>Start Party</b><br>Start the party after inviting three players."
"role.maskedDancer.tips" : "<b>· After inviting 3 players, you can start the party in the next round.</b>"
"options.role.maskeddancer.inviteCooldownFirst" : "First Invite Cooldown"
"options.role.maskeddancer.inviteCooldownSecond" : "Second Invite Cooldown"
"options.role.maskeddancer.inviteCooldownThird" : "Third Invite Cooldown"
"options.role.maskeddancer.partyuses" : "Party Uses"
"button.label.maskedDancer.invite" : "Invite"
"button.label.maskedDancer.start" : "Start Party"
"options.role.maskeddancer.startcooldown" : "Start Party Cooldown"

"achievement.maskedDancer.party.title" : "Fake Mask"
"achievement.maskedDancer.party.goal" : "Start a party once."

"achievement.maskedDancer.accident.title" : "An Accident!"
"achievement.maskedDancer.accident.goal" : "Someone dies from a party accident."

"achievement.maskedDancer.suicide.title" : "Broken Mask"
"achievement.maskedDancer.suicide.goal" : "The Masked Dancer commits suicide during the party."








"role.referee.name" : "Referee"
"role.referee.short" : "Referee"
"role.referee.blurb" : "Don't let me down."
"role.referee.doc" : "Recruit a player to become a High Priest.<br>If you recruit an Impostor or Neutral, you may commit suicide based on settings.<br><b>Cannot recruit in the first round.</b>"
"role.referee.ability.title" : "<b>Ability: Righteous Judgment</b>"
"role.referee.ability.main" : "Recruit one player to become a High Priest. Cannot use the skill in the first round."
"role.referee.doc.recruit" : "<b>Recruit</b><br>Make the target a High Priest."
"options.role.referee.detail" : "The Referee can recruit one person to be a High Priest.<br><b>This is one of Half Sugar's gifts to you!</b>"

"options.role.referee.cooldown" : "Recruit Cooldown"
"options.role.referee.uses" : "Recruit Uses"
"options.role.referee.suicideImpostor" : "Suicide when recruiting an Impostor"
"options.role.referee.suicideNeutral" : "Suicide when recruiting a Neutral"
"options.role.referee.suicideCrewmate" : "Suicide when recruiting a Crewmate"
"button.label.referee.recruit" : "Recruit"


"role.wish.name" : "Wish"
"role.wish.blurb" : "May our next meeting not be separated by death."
"role.wish.short" : "Wish"
"role.wish.doc" : "Use <b>Pray</b> to mark a player, allowing you to see the killer's info if they die, or protect them from being exiled."
"role.wish.ability.title" : "<b>Ability: Prayer</b>"
"role.wish.ability.main" : "You can use <b>Pray</b> to place a mark on someone. When marked, if they die, you learn the killer's identity. If they are exiled, the exile is prevented. Based on host settings, Wish may commit suicide when Pray is used on an Impostor, Crewmate, or Neutral."
"role.wish.doc.wishSkill" : "<b>Pray</b><br>Mark a player during the action phase."
"role.wish.tips" : " "
"options.role.wish.detail" : "Wish can mark others and trigger skill effects.<br><b>This is one of Half Sugar's gifts to you!</b>"
"options.role.wish.MarkCoolDown" : "Skill Cooldown"
"options.role.wish.MarkMaxUses" : "Max Skill Uses"
"options.role.wish.suicideImpostor" : "Die instantly when Praying on an Impostor"
"options.role.wish.suicideNeutral" : "Die instantly when Praying on a Neutral"
"options.role.wish.suicideCrewmate" : "Die instantly when Praying on a Crewmate"
"button.label.wish.mark" : "Pray"






#Impostor


"role.BeNothing.name" : "Comet Child of Betrayal"
"role.BeNothing.short" : "B.Comet"
"role.BeNothing.blurb" : "Give them the final blow."
"options.role.BeNothing.detail" : "Can enter an invisible state and greatly increase movement speed.<br>Returns to normal after the duration ends.<br><b>This is one of Half Sugar's gifts to you!</b>"
"role.BeNothing.doc" : "<b>This role is a test role with both overpowered abilities and bugs.</b><br><b>Do not enable in normal play.</b><br>Can enter an invisible state and greatly increase movement speed. Returns to normal after the duration ends."
"options.role.BeNothing.cooldown" : "Invisibility Cooldown"
"options.role.BeNothing.duration" : "Invisibility Duration"
"options.role.BeNothing.speedMultiplier" : "Speed Multiplier"
"button.label.BeNothing" : "Invisible"

"achievement.BeNothing.common1.title" : "?"
"achievement.BeNothing.common1.cond" : "Nothing"
"achievement.BeNothing.common1.goal" : "Obtain the evil Comet Child role."

"role.restorer.name" : "Restorer"
"role.restorer.short" : "Rest"
"role.restorer.blurb" : "Remember your purest self."
"options.role.restorer.detail" : "Choose a player. After the next meeting, their role is restored to its original state.<br><b>This is one of Half Sugar's gifts to you!</b>."
"role.restorer.doc" : "The Restorer can mark other players and forcibly change their role after the next meeting.<br><br>Use the skill to select a target, and they will be 'restored' to a basic role: Crewmate, Impostor, or Jester."
"role.restorer.doc.image" : "<b>Restore</b><br>Restore the target to their original role.<br>Crewmate faction - Crewmate, Impostor faction - Impostor, Neutral faction - <b>Jester</b><br>Restore uses: <b><color=#00ffff>%USES% times</color></b>"
"options.role.restorer.cooldown" : "Restore Cooldown"
"options.role.restorer.skillUses" : "Restore Uses"
"button.label.restorer" : "Restore"
"role.restorer.ability.title" : "<b>Ability: Primordial Time</b>"
"role.restorer.ability.main" : "Use Restore to revert someone's role."
"role.restorer.tips" : "·<b>Don't vote out the Jester you restored!</b><br>·This role is inspired by <b>Eraser</b>"

"achievement.restorer.common.restored.title" : "Who am I? Where am I?"
"achievement.restorer.common.restored.cond" : ""
"achievement.restorer.common.restored.goal" : "Have your role restored by a Restorer."


"achievement.restorer.common.win.title" : "Everything is just like the beginning"
"achievement.restorer.common.win.cond" : ""
"achievement.restorer.common.win.goal" : "Win once."


"achievement.restorer.common.dead.title" : "The End"
"achievement.restorer.common.dead.cond" : "Hint: Maybe you need to be killed first?"
"achievement.restorer.common.dead.goal" : "Die without using Restore."


"achievement.restorer.challenge.same.title" : "Same magic as mine?!"
"achievement.restorer.challenge.same.cond" : ""
"achievement.restorer.challenge.same.goal" : "Restore another Restorer."


"achievement.restorer.challenge.all.title" : "Restore everyone present"
"achievement.restorer.challenge.all.cond" : "Hint: Recommended to complete with 5 or fewer players."
"achievement.restorer.challenge.all.goal" : "Restore everyone's role."


"achievement.restorer.challenge.unused.title" : "Did I forget something?"
"achievement.restorer.challenge.unused.cond" : ""
