#船员



"role.maskedDancer.name" : "假面舞者"
"role.maskedDancer.short" : "舞"
"role.maskedDancer.blurb" : "跟我一起共舞吧?"
"role.maskedDancer.doc" : "邀请三名玩家参加舞会。在下一轮会议结束后可开启舞会"
"options.role.maskedDancer.detail" : "假面舞者可以邀请三人并且开启舞会。<br>根据被邀请者的阵营来决定舞会效果。<br><b>这是半糖送给你的礼物之一！</b>"
"role.maskedDancer.ability.title" : "<b>固有能力【假面舞会】</b>"
"role.maskedDancer.ability.main" : "可以使用<b>邀请</b>来邀请三人。<br>邀请三人并且本轮结束后、可以<b>开启舞会</b><br>如果选择的人中、一名伪装者、一名船员、一名中立或者三名船员，那么无事发生<br>如果有两名船员、一个中立或者伪装者、那么中立或者伪装者死亡。<br>如果没有船员、那么假面舞者自杀。<br>如果只有一个船员、那么随机击杀一个被邀请者。"
"role.maskeddancer.doc.invite" : "<b>邀请</b><br>邀请一人来到舞会"
"role.maskeddancer.doc.start" : "<b>开启舞会</b><br>邀请三人后可开启舞会。"
"role.maskedDancer.tips" : "<b>· 邀请满3人后、需要在下一轮才能开启舞会</b>"
"options.role.maskeddancer.inviteCooldownFirst" : "首次邀请冷却"
"options.role.maskeddancer.inviteCooldownSecond" : "第二次邀请冷却"
"options.role.maskeddancer.inviteCooldownThird" : "第三次邀请冷却"
"options.role.maskeddancer.partyuses" : "舞会次数"
"button.label.maskedDancer.invite" : "邀请"
"button.label.maskedDancer.start" : "开启舞会"
"options.role.maskeddancer.startcooldown" : "开启舞会冷却"

"achievement.maskedDancer.party.title" : "虚假的面具"
"achievement.maskedDancer.party.goal" : "开启一次舞会。"

"achievement.maskedDancer.accident.title" : "一场事故！"
"achievement.maskedDancer.accident.goal" : "有人死于舞会事故。"

"achievement.maskedDancer.suicide.title" : "破碎的假面"
"achievement.maskedDancer.suicide.goal" : "假面舞者在舞会中自尽。"



"role.referee.name" : "裁判"
"role.referee.short" : "裁判"
"role.referee.blurb" : "不要辜负我对你的期望"
